player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,positions_list,CAM,ST,LWB,CM,RW,CF,GK,CB,LW,LM,CDM,LB,RM,RB,RWB,adaptation_score,position_count,attacking_work_rate,defending_work_rate,injury_prone,club_expiry_soon,category
168542,/player/168542/david-josue-jimenez-silva/160002,16,2,2015-09-21,David Silva,David Josué Jiménez Silva,"CAM, LM",88,88,50500000.0,210000.0,29,1986-01-08,170,67,13.0,Premier League,1.0,10.0,Manchester City,SUB,21.0,,2010-07-14,2019.0,45,Spain,1362.0,RM,21.0,Left,2,4,4,High/Low,Normal (170-185),Yes,,"#Dribbler, #Playmaker, #Acrobat","Avoids Using Weaker Foot, Flair, Playmaker (AI)",73.0,74.0,89.0,89.0,32.0,59.0,85,72,54,92,80,87,83,77,85,91,79,68,93,84,88,71,66,68,56,79,51,41,83,93,77,,23,30,29,1,1,1,1,1,,76+2,76+2,76+2,84+2,83+2,83+2,83+2,84+2,86+2,86+2,86+2,84+2,82+2,82+2,82+2,84+2,63+2,62+2,62+2,62+2,63+2,58+2,47+2,47+2,47+2,58+2,10+2,https://cdn.sofifa.net/players/168/542/16_120.png,"['CAM', 'LM']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,2,3,1,0,1,Unknown
153079,/player/153079/sergio-aguero/160002,16,2,2015-09-21,S. Agüero,Sergio Leonel Agüero del Castillo,ST,87,87,47500000.0,230000.0,27,1988-06-02,172,74,13.0,Premier League,1.0,10.0,Manchester City,ST,10.0,,2011-07-28,2019.0,52,Argentina,1369.0,ST,11.0,Right,4,4,4,High/Medium,Normal (170-185),Yes,,"#Dribbler, #Acrobat, #Clinical Finisher","Injury Prone, Beat Offside Trap, Flair, Technical Dribbler (AI)",89.0,87.0,77.0,89.0,23.0,68.0,70,90,68,83,85,89,82,72,63,89,92,86,86,87,90,85,76,69,71,81,57,24,90,83,83,,13,20,12,13,15,6,11,14,,85+2,85+2,85+2,86+1,87,87,87,86+1,86+1,86+1,86+1,84+2,76+2,76+2,76+2,84+2,57+2,54+2,54+2,54+2,57+2,52+2,43+2,43+2,43+2,52+2,21+2,https://cdn.sofifa.net/players/153/079/16_120.png,['ST'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,3,2,1,1,Forward
192985,/player/192985/kevin-de-bruyne/160002,16,2,2015-09-21,K. De Bruyne,Kevin De Bruyne,"CAM, LM, RM",86,89,50500000.0,190000.0,24,1991-06-28,181,76,13.0,Premier League,1.0,10.0,Manchester City,CAM,17.0,,2015-08-30,2021.0,7,Belgium,1325.0,RM,7.0,Right,5,4,3,High/Medium,Normal (170-185),Yes,,#Playmaker ,"Long Passer (AI), Long Shot Taker (AI)",77.0,83.0,86.0,84.0,40.0,75.0,90,82,53,88,82,85,78,77,82,86,76,78,78,87,75,84,65,85,73,85,68,52,83,88,77,,30,39,40,15,13,5,10,13,,80+1,80+1,80+1,84+1,84+1,84+1,84+1,84+1,85+1,85+1,85+1,85+1,82+1,82+1,82+1,85+1,69+1,67+1,67+1,67+1,69+1,64+1,55+1,55+1,55+1,64+1,21+1,https://cdn.sofifa.net/players/192/985/16_120.png,"['CAM', 'LM', 'RM']",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.5,3,3,2,0,0,Unknown
20289,/player/20289/yaya-toure/160002,16,2,2015-09-21,Y. Touré,Gnégnéri Yaya Touré,"CM, CDM",85,85,25000000.0,170000.0,32,1983-05-13,189,90,13.0,Premier League,1.0,10.0,Manchester City,RCM,42.0,,2010-07-02,2017.0,108,Côte d'Ivoire,111112.0,CM,19.0,Right,4,3,4,Medium/Low,Lean (185+),Yes,,#Strength,"Injury Free, Leadership, Long Shot Taker (AI), Playmaker (AI)",76.0,83.0,81.0,79.0,70.0,86.0,67,82,74,86,68,81,80,85,83,83,70,80,64,85,55,86,65,86,92,84,78,66,81,85,85,,63,78,75,13,14,6,12,8,,82+2,82+2,82+2,80+2,82+2,82+2,82+2,80+2,82+2,82+2,82+2,81+2,83+2,83+2,83+2,81+2,76+2,79+2,79+2,79+2,76+2,76+2,76+2,76+2,76+2,76+2,20+2,https://cdn.sofifa.net/players/020/289/16_120.png,"['CM', 'CDM']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,2,2,1,0,1,Unknown
139720,/player/139720/vincent-kompany/160002,16,2,2015-09-21,V. Kompany,Vincent Jean Mpoy Kompany,CB,85,85,25000000.0,170000.0,29,1986-04-10,192,85,13.0,Premier League,1.0,10.0,Manchester City,SUB,4.0,,2008-08-22,2019.0,7,Belgium,1325.0,RCB,4.0,Right,3,2,4,Medium/Medium,Normal (185+),Yes,,"#Tackling, #Strength","Injury Prone, Dives Into Tackles (AI), Leadership",69.0,54.0,62.0,65.0,86.0,81.0,61,45,84,65,46,64,61,52,66,68,68,70,63,84,42,76,73,70,88,55,81,78,41,59,63,,86,90,87,10,9,5,8,6,,64+2,64+2,64+2,62+2,62+2,62+2,62+2,62+2,62+2,62+2,62+2,63+2,66+2,66+2,66+2,63+2,75+2,76+2,76+2,76+2,75+2,77+2,83+2,83+2,83+2,77+2,16+2,https://cdn.sofifa.net/players/139/720/16_120.png,['CB'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,2,2,1,1,Defender
150724,/player/150724/joe-hart/160002,16,2,2015-09-21,J. Hart,Charles Joseph John Hart,GK,84,84,25000000.0,180000.0,28,1987-04-19,196,91,13.0,Premier League,1.0,10.0,Manchester City,GK,1.0,,2006-05-24,2019.0,14,England,1318.0,GK,1.0,Right,3,1,3,Medium/Medium,Normal (185+),Yes,,,"Injury Free, Leadership, Puncher",,,,,,,14,14,10,32,19,23,17,13,35,20,59,60,25,81,32,65,72,28,61,19,28,25,14,42,68,,14,14,13,85,79,76,84,87,60.0,33+1,33+1,33+1,31+1,33+1,33+1,33+1,31+1,32+1,32+1,32+1,32+1,32+1,32+1,32+1,32+1,29+1,30+1,30+1,30+1,29+1,29+1,28+1,28+1,28+1,29+1,83+1,https://cdn.sofifa.net/players/150/724/16_120.png,['GK'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,2,2,0,1,Goalkeeper
192366,/player/192366/nicolas-otamendi/160002,16,2,2015-09-21,N. Otamendi,Nicolás Hernán Gonzalo Otamendi,CB,84,84,24000000.0,180000.0,27,1988-02-12,183,81,13.0,Premier League,1.0,10.0,Manchester City,RCB,30.0,,2015-08-20,2020.0,52,Argentina,1369.0,LCB,17.0,Right,3,2,3,Medium/Medium,Normal (170-185),No,,"#Tackling, #Tactician ","Injury Free, Dives Into Tackles (AI), Power Header",75.0,56.0,56.0,54.0,87.0,82.0,52,53,86,64,58,43,50,39,66,60,74,76,71,80,62,69,90,78,82,56,85,86,49,45,44,,87,86,88,12,5,8,11,12,,64+1,64+1,64+1,58+1,59+1,59+1,59+1,58+1,58+1,58+1,58+1,59+1,63+1,63+1,63+1,59+1,74+1,76+1,76+1,76+1,74+1,78+1,83+1,83+1,83+1,78+1,18+1,https://cdn.sofifa.net/players/192/366/16_120.png,['CB'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,2,2,0,0,Defender
165239,/player/165239/samir-nasri/160002,16,2,2015-09-21,S. Nasri,Samir Nasri,"LM, RM",83,83,22500000.0,150000.0,28,1987-06-26,175,75,13.0,Premier League,1.0,10.0,Manchester City,SUB,8.0,,2011-08-24,2019.0,18,France,,,,Right,4,4,3,High/Medium,Normal (170-185),Yes,,#Dribbler,"Flair, Technical Dribbler (AI)",81.0,76.0,83.0,86.0,38.0,58.0,81,76,42,86,73,86,78,79,77,88,83,79,82,80,92,75,50,72,62,77,33,37,81,85,77,,35,37,44,1,1,1,1,1,,76+1,76+1,76+1,83,82+1,82+1,82+1,83,83,83,83,82+1,78+1,78+1,78+1,82+1,65+1,61+1,61+1,61+1,65+1,60+1,48+1,48+1,48+1,60+1,10+1,https://cdn.sofifa.net/players/165/239/16_120.png,"['LM', 'RM']",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.5,2,3,2,0,1,Unknown
142784,/player/142784/pablo-zabaleta/160002,16,2,2015-09-21,P. Zabaleta,Pablo Javier Zabaleta Girod,RB,82,82,14000000.0,130000.0,30,1985-01-16,178,76,13.0,Premier League,1.0,10.0,Manchester City,SUB,5.0,,2008-08-31,2017.0,52,Argentina,1369.0,RB,4.0,Right,3,3,3,High/High,Normal (170-185),Yes,,"#Tackling, #Tactician ","Injury Free, Dives Into Tackles (AI), Team Player",73.0,56.0,70.0,75.0,85.0,83.0,75,49,76,72,53,74,68,66,64,77,72,73,71,86,66,66,84,85,79,57,90,86,71,66,64,,86,87,86,10,14,15,7,5,,69+1,69+1,69+1,71+1,70+1,70+1,70+1,71+1,70+1,70+1,70+1,73+1,73+1,73+1,73+1,73+1,81+1,80+1,80+1,80+1,81+1,81+1,83-1,83-1,83-1,81+1,18+1,https://cdn.sofifa.net/players/142/784/16_120.png,['RB'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,3,3,0,1,Defender
202652,/player/202652/raheem-sterling/160002,16,2,2015-09-21,R. Sterling,Raheem Sterling,"LM, ST, RM",82,88,27000000.0,110000.0,20,1994-12-08,170,69,13.0,Premier League,1.0,10.0,Manchester City,LM,7.0,,2015-07-14,2020.0,14,England,1318.0,LM,11.0,Right,3,4,3,High/Medium,Lean (170-),Yes,,"#Speedster, #Dribbler, #Acrobat","Beat Offside Trap, Flair, Speed Dribbler (AI)",93.0,71.0,73.0,87.0,46.0,61.0,72,73,38,77,59,87,64,49,70,85,94,92,90,80,91,68,61,75,64,70,34,26,81,76,63,,48,58,54,15,12,12,15,9,,74+1,74+1,74+1,82+1,80+1,80+1,80+1,82+1,81+1,81+1,81+1,81+1,74+1,74+1,74+1,81+1,67+1,61+1,61+1,61+1,67+1,64+1,53+1,53+1,53+1,64+1,20+1,https://cdn.sofifa.net/players/202/652/16_120.png,"['LM', 'ST', 'RM']",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,3,3,2,0,0,Unknown
